model,architecture,checkpoint,batch,precision,imgsz,available,iterations,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,fps,throughput_img_s,peak_allocated_mib,params,gflops,input_dtype,device,error
YOLO11s+CA (last),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\last.pt,4,fp32,640,True,3000,24.6504,24.5535,25.0184,0.8675,23.5715,46.6268,40.57,162.27,287.1,9453827,21.7,float32,cuda:0,
YOLO11s+CA (last),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\last.pt,4,fp16,640,True,3000,16.3876,15.6538,20.2261,1.9855,14.0452,46.1056,61.02,244.09,263.5,9453827,,float16,cuda:0,
RT-DETR-L (best),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\best.pt,1,fp32,640,True,3000,36.0648,35.4196,42.2492,3.6615,29.9704,72.3077,27.73,27.73,321.4,32808131,109.9,float32,cuda:0,
RT-DETR-L (best),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\best.pt,1,fp16,640,True,3000,36.9199,36.1938,45.3604,5.3396,26.6045,125.8598,27.09,27.09,254.3,32808131,,float16,cuda:0,
RT-DETR-L (best),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\best.pt,4,fp32,640,True,3000,113.4836,113.0148,117.8194,2.568,108.7058,144.4227,8.81,35.25,520.2,32808131,109.9,float32,cuda:0,
RT-DETR-L (best),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\best.pt,4,fp16,640,True,3000,61.8729,61.1583,67.8995,3.5828,55.9258,92.5858,16.16,64.65,378.9,32808131,,float16,cuda:0,
RT-DETR-L (last),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\last.pt,1,fp32,640,True,3000,36.5356,35.8537,42.4645,3.7165,29.6397,73.1205,27.37,27.37,321.4,32808131,109.9,float32,cuda:0,
RT-DETR-L (last),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\last.pt,1,fp16,640,True,3000,37.2265,36.6296,45.738,5.1406,26.7571,93.9859,26.86,26.86,254.3,32808131,,float16,cuda:0,
RT-DETR-L (last),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\last.pt,4,fp32,640,True,3000,113.678,113.1716,118.442,2.6345,107.8302,145.0076,8.8,35.19,520.2,32808131,109.9,float32,cuda:0,
RT-DETR-L (last),RTDETR,<PIG_PROJECT>\runs\rtdetr_pigdetect\RTDETR_seed42\weights\last.pt,4,fp16,640,True,3000,61.9716,61.2018,68.1892,3.6285,55.853,98.1821,16.14,64.55,378.9,32808131,,float16,cuda:0,
