dataset,seed,arm,checkpoint_rule,variant,condition,instances,hits,recall
OinkTrack_official_test_8569,101,E0,last,A_locked_text_manuscript,High,179698,108290,0.6026221772084275
OinkTrack_official_test_8569,101,E0,last,B_extension_strict,Low,26733,14430,0.53978229154977
OinkTrack_official_test_8569,101,E0,last,B_extension_strict,Medium,55291,33586,0.6074406322909696
OinkTrack_official_test_8569,101,E0,last,B_extension_strict,High,179698,108290,0.6026221772084275
OinkTrack_official_test_8569,113,E0,last,A_locked_text_manuscript,Low,26733,14250,0.5330490405117271
OinkTrack_official_test_8569,113,E0,last,A_locked_text_manuscript,Medium,55291,33482,0.6055596751731747
OinkTrack_official_test_8569,113,E0,last,A_locked_text_manuscript,High,179698,109171,0.6075248472437089
OinkTrack_official_test_8569,113,E0,last,B_extension_strict,Low,26733,14250,0.5330490405117271
OinkTrack_official_test_8569,113,E0,last,B_extension_strict,Medium,55291,33482,0.6055596751731747
OinkTrack_official_test_8569,113,E0,last,B_extension_strict,High,179698,109171,0.6075248472437089
OinkTrack_official_test_8569,1,E5,last,A_locked_text_manuscript,Low,26733,14720,0.5506303071110612
OinkTrack_official_test_8569,1,E5,last,A_locked_text_manuscript,Medium,55291,33738,0.6101897234631314
OinkTrack_official_test_8569,1,E5,last,A_locked_text_manuscript,High,179698,109790,0.6109695155204844
OinkTrack_official_test_8569,1,E5,last,B_extension_strict,Low,26733,14720,0.5506303071110612
OinkTrack_official_test_8569,1,E5,last,B_extension_strict,Medium,55291,33738,0.6101897234631314
OinkTrack_official_test_8569,1,E5,last,B_extension_strict,High,179698,109790,0.6109695155204844
OinkTrack_official_test_8569,21,E5,last,A_locked_text_manuscript,Low,26733,14537,0.5437848352223843
OinkTrack_official_test_8569,21,E5,last,A_locked_text_manuscript,Medium,55291,33267,0.6016711580546563
OinkTrack_official_test_8569,21,E5,last,A_locked_text_manuscript,High,179698,107438,0.5978808890471792
OinkTrack_official_test_8569,21,E5,last,B_extension_strict,Low,26733,14537,0.5437848352223843
OinkTrack_official_test_8569,21,E5,last,B_extension_strict,Medium,55291,33267,0.6016711580546563
OinkTrack_official_test_8569,21,E5,last,B_extension_strict,High,179698,107438,0.5978808890471792
OinkTrack_official_test_8569,42,E5,last,A_locked_text_manuscript,Low,26733,13997,0.5235850821082557
OinkTrack_official_test_8569,42,E5,last,A_locked_text_manuscript,Medium,55291,32703,0.5914705829158452
OinkTrack_official_test_8569,42,E5,last,A_locked_text_manuscript,High,179698,105576,0.5875190597558125
OinkTrack_official_test_8569,42,E5,last,B_extension_strict,Low,26733,13997,0.5235850821082557
OinkTrack_official_test_8569,42,E5,last,B_extension_strict,Medium,55291,32703,0.5914705829158452
OinkTrack_official_test_8569,42,E5,last,B_extension_strict,High,179698,105576,0.5875190597558125
OinkTrack_official_test_8569,101,E5,last,A_locked_text_manuscript,Low,26733,14405,0.5388471177944862
OinkTrack_official_test_8569,101,E5,last,A_locked_text_manuscript,Medium,55291,33470,0.605342641659583
OinkTrack_official_test_8569,101,E5,last,A_locked_text_manuscript,High,179698,109163,0.6074803281060446
OinkTrack_official_test_8569,101,E5,last,B_extension_strict,Low,26733,14405,0.5388471177944862
OinkTrack_official_test_8569,101,E5,last,B_extension_strict,Medium,55291,33470,0.605342641659583
OinkTrack_official_test_8569,101,E5,last,B_extension_strict,High,179698,109163,0.6074803281060446
OinkTrack_official_test_8569,113,E5,last,A_locked_text_manuscript,Low,26733,14350,0.536789735532862
OinkTrack_official_test_8569,113,E5,last,A_locked_text_manuscript,Medium,55291,32349,0.5850680942648894
OinkTrack_official_test_8569,113,E5,last,A_locked_text_manuscript,High,179698,104575,0.5819486026555666
OinkTrack_official_test_8569,113,E5,last,B_extension_strict,Low,26733,14350,0.536789735532862
OinkTrack_official_test_8569,113,E5,last,B_extension_strict,Medium,55291,32349,0.5850680942648894
OinkTrack_official_test_8569,113,E5,last,B_extension_strict,High,179698,104575,0.5819486026555666
